timestamp,values
2013-02-17T14:40:55-08:00,CLOUDY
2013-02-17T14:42:06-08:00,CLOUDY
2013-02-17T14:43:17-08:00,CLOUDY
2013-02-17T14:44:28-08:00,CLOUDY
2013-02-17T14:45:39-08:00,CLOUDY
2013-02-17T14:46:50-08:00,CLOUDY
2013-02-17T14:48:01-08:00,CLOUDY
2013-02-17T14:49:12-08:00,CLOUDY
2013-02-17T14:50:24-08:00,CLOUDY
2013-02-17T14:51:34-08:00,CLOUDY
2013-02-17T14:52:45-08:00,CLOUDY
2013-02-17T14:53:56-08:00,CLOUDY
2013-02-17T14:55:07-08:00,CLOUDY
2013-02-17T14:56:18-08:00,CLOUDY
2013-02-17T14:57:29-08:00,CLOUDY
2013-02-17T14:58:41-08:00,CLOUDY
2013-02-17T14:59:52-08:00,CLOUDY
2013-02-17T15:01:03-08:00,CLOUDY
2013-02-17T15:02:14-08:00,CLOUDY
2013-02-17T15:03:25-08:00,CLOUDY
2013-02-17T15:04:36-08:00,CLOUDY
2013-02-17T15:05:47-08:00,CLOUDY
2013-02-17T15:06:58-08:00,CLOUDY
2013-02-17T15:08:09-08:00,CLOUDY
2013-02-17T15:09:19-08:00,CLOUDY
2013-02-17T15:10:30-08:00,CLOUDY
2013-02-17T15:11:41-08:00,CLOUDY
2013-02-17T15:12:52-08:00,CLOUDY
2013-02-17T15:14:03-08:00,CLOUDY
2013-02-17T15:15:15-08:00,CLOUDY
2013-02-17T15:16:26-08:00,CLOUDY
2013-02-17T15:17:37-08:00,CLOUDY
2013-02-17T15:18:48-08:00,CLOUDY
2013-02-17T15:19:59-08:00,CLOUDY
2013-02-17T15:21:10-08:00,CLOUDY
2013-02-17T15:22:21-08:00,CLOUDY
2013-02-17T15:23:32-08:00,CLOUDY
2013-02-17T15:24:43-08:00,CLOUDY
2013-02-17T15:25:53-08:00,CLOUDY
2013-02-17T15:27:04-08:00,CLOUDY
2013-02-17T15:28:15-08:00,CLOUDY
2013-02-17T15:29:26-08:00,CLOUDY
2013-02-17T15:30:37-08:00,CLOUDY
2013-02-17T15:31:48-08:00,CLOUDY
2013-02-17T15:32:59-08:00,CLOUDY
2013-02-17T15:34:10-08:00,CLOUDY
2013-02-17T15:35:21-08:00,CLOUDY
2013-02-17T15:36:33-08:00,CLOUDY
2013-02-17T15:37:44-08:00,CLOUDY
2013-02-17T15:38:55-08:00,CLOUDY
2013-02-17T15:40:06-08:00,CLOUDY
2013-02-17T15:41:17-08:00,CLOUDY
2013-02-17T15:42:27-08:00,CLOUDY
2013-02-17T15:43:38-08:00,CLOUDY
2013-02-17T15:44:49-08:00,CLOUDY
2013-02-17T15:46:00-08:00,CLOUDY
2013-02-17T15:47:11-08:00,CLOUDY
2013-02-17T15:48:22-08:00,CLOUDY
2013-02-17T15:49:33-08:00,CLOUDY
2013-02-17T15:50:45-08:00,CLOUDY
2013-02-17T15:51:56-08:00,CLOUDY
2013-02-17T15:53:07-08:00,CLOUDY
2013-02-17T15:54:18-08:00,CLOUDY
2013-02-17T15:55:29-08:00,CLOUDY
2013-02-17T15:56:40-08:00,CLOUDY
2013-02-17T15:57:51-08:00,CLOUDY
2013-02-17T15:59:01-08:00,CLOUDY
2013-02-17T16:00:12-08:00,CLOUDY
2013-02-17T16:01:23-08:00,CLOUDY
2013-02-17T16:02:34-08:00,CLOUDY
2013-02-17T16:03:45-08:00,CLOUDY
2013-02-17T16:04:56-08:00,CLOUDY
2013-02-17T16:06:07-08:00,CLOUDY
2013-02-17T16:07:18-08:00,CLOUDY
2013-02-17T16:08:29-08:00,CLOUDY
2013-02-17T16:09:40-08:00,CLOUDY
2013-02-17T16:10:51-08:00,CLOUDY
2013-02-17T16:12:02-08:00,CLOUDY
2013-02-17T16:13:13-08:00,CLOUDY
2013-02-17T16:14:24-08:00,CLOUDY
2013-02-17T16:15:35-08:00,CLOUDY
2013-02-17T16:16:45-08:00,CLOUDY
2013-02-17T16:17:56-08:00,CLOUDY
2013-02-17T16:19:07-08:00,CLOUDY
2013-02-17T16:20:18-08:00,CLOUDY
2013-02-17T16:21:30-08:00,CLOUDY
2013-02-17T16:22:41-08:00,CLOUDY
2013-02-17T16:23:52-08:00,CLOUDY
2013-02-17T16:25:03-08:00,CLOUDY
2013-02-17T16:26:13-08:00,CLOUDY
2013-02-17T16:27:24-08:00,CLOUDY
2013-02-17T16:28:35-08:00,CLOUDY
2013-02-17T16:29:47-08:00,CLOUDY
2013-02-17T16:30:58-08:00,CLOUDY
2013-02-17T16:32:09-08:00,CLOUDY
2013-02-17T16:33:19-08:00,CLOUDY
2013-02-17T16:34:30-08:00,CLOUDY
2013-02-17T16:35:41-08:00,CLOUDY
2013-02-17T16:36:52-08:00,CLOUDY
2013-02-17T16:38:03-08:00,CLOUDY
2013-02-17T16:39:14-08:00,CLOUDY
2013-02-17T16:40:25-08:00,CLOUDY
2013-02-17T16:41:36-08:00,CLOUDY
2013-02-17T16:42:47-08:00,CLOUDY
2013-02-17T16:43:58-08:00,CLOUDY
2013-02-17T16:45:10-08:00,CLOUDY
2013-02-17T16:46:21-08:00,CLOUDY
2013-02-17T16:47:32-08:00,CLOUDY
2013-02-17T16:48:43-08:00,CLOUDY
2013-02-17T16:49:53-08:00,CLOUDY
2013-02-17T16:51:04-08:00,CLOUDY
2013-02-17T16:52:15-08:00,CLOUDY
2013-02-17T16:53:26-08:00,CLOUDY
2013-02-17T16:54:37-08:00,CLOUDY
2013-02-17T16:55:48-08:00,CLOUDY
2013-02-17T16:56:59-08:00,CLOUDY
2013-02-17T16:58:10-08:00,CLOUDY
2013-02-17T16:59:22-08:00,CLOUDY
2013-02-17T17:00:33-08:00,CLOUDY
2013-02-17T17:01:44-08:00,CLOUDY
2013-02-17T17:02:55-08:00,CLOUDY
2013-02-17T17:04:06-08:00,CLOUDY
2013-02-17T17:05:17-08:00,CLOUDY
2013-02-17T17:06:28-08:00,CLOUDY
2013-02-17T17:07:39-08:00,CLOUDY
2013-02-17T17:08:50-08:00,CLOUDY
2013-02-17T17:10:01-08:00,CLOUDY
2013-02-17T17:11:12-08:00,CLOUDY
2013-02-17T17:12:23-08:00,CLOUDY
2013-02-17T17:13:35-08:00,CLOUDY
2013-02-17T17:14:46-08:00,CLOUDY
2013-02-17T17:15:57-08:00,CLOUDY
2013-02-17T17:17:09-08:00,CLOUDY
2013-02-17T17:18:20-08:00,CLOUDY
2013-02-17T17:19:31-08:00,CLOUDY
2013-02-17T17:20:43-08:00,CLOUDY
2013-02-17T17:21:54-08:00,CLOUDY
2013-02-17T17:23:04-08:00,CLOUDY
2013-02-17T17:24:15-08:00,CLOUDY
2013-02-17T17:25:27-08:00,CLOUDY
2013-02-17T17:26:38-08:00,CLOUDY
